Channel Id,Channel Url,Channel Title
UCmtyQOKKmrMVaKuRXz02jbQ,http://www.youtube.com/channel/UCmtyQOKKmrMVaKuRXz02jbQ,Sebastian Lague
UCo71RUe6DX4w-Vd47rFLXPg,http://www.youtube.com/channel/UCo71RUe6DX4w-Vd47rFLXPg,typecraft
UCoUXxtd712vGe5p5lBk_eMg,http://www.youtube.com/channel/UCoUXxtd712vGe5p5lBk_eMg,In59seconds
UCoZQiN0o7f36H7PaW4fVhFw,http://www.youtube.com/channel/UCoZQiN0o7f36H7PaW4fVhFw,Retro Game Corps
UCogwkoPw8VxevAlm5XGBB2A,http://www.youtube.com/channel/UCogwkoPw8VxevAlm5XGBB2A,burialgoods
UCpCSAcbqs-sjEVfk_hMfY9w,http://www.youtube.com/channel/UCpCSAcbqs-sjEVfk_hMfY9w,Zach Star
UCq1zuC3x4kJcJSJOE7yo-Qw,http://www.youtube.com/channel/UCq1zuC3x4kJcJSJOE7yo-Qw,ItsComplicatedChannel
UCqIk_xynj7j5sLPu3me6kvw,http://www.youtube.com/channel/UCqIk_xynj7j5sLPu3me6kvw,Zurik 23M
UCqJ-Xo29CKyLTjn6z2XwYAw,http://www.youtube.com/channel/UCqJ-Xo29CKyLTjn6z2XwYAw,Game Maker's Toolkit
UCqjVP9gAanUGFgTA5BRDvyA,http://www.youtube.com/channel/UCqjVP9gAanUGFgTA5BRDvyA,HowToMen
UCqmugCqELzhIMNYnsjScXXw,http://www.youtube.com/channel/UCqmugCqELzhIMNYnsjScXXw,Vsauce2
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCsEPI9OwGEw5Lm0E7Paq62g,http://www.youtube.com/channel/UCsEPI9OwGEw5Lm0E7Paq62g,hoe_math
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsn6cjffsvyOZCZxvGoJxGg,http://www.youtube.com/channel/UCsn6cjffsvyOZCZxvGoJxGg,Corridor
UCsooa4yRKGN_zEE8iknghZA,http://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed
UCtGoikgbxP4F3rgI9PldI9g,http://www.youtube.com/channel/UCtGoikgbxP4F3rgI9PldI9g,Super Eyepatch Wolf
UCtHJ59f4JJxzAyse-464BVw,http://www.youtube.com/channel/UCtHJ59f4JJxzAyse-464BVw,Darian Quilloy
UCt_oFAUph4_8P3N_Xs-FGHg,http://www.youtube.com/channel/UCt_oFAUph4_8P3N_Xs-FGHg,Scamboli Reviews
UCtgGOdTlM-NdJ9rPKIYN8UQ,http://www.youtube.com/channel/UCtgGOdTlM-NdJ9rPKIYN8UQ,Slayy Point
UCwmFOfFuvRPI112vR5DNnrA,http://www.youtube.com/channel/UCwmFOfFuvRPI112vR5DNnrA,Vsauce3
UCx8vbgWs666cAS7wsKos5sA,http://www.youtube.com/channel/UCx8vbgWs666cAS7wsKos5sA,8-BitRyan
UCz4a7agVFr1TxU-mpAP8hkw,http://www.youtube.com/channel/UCz4a7agVFr1TxU-mpAP8hkw,Mohak Mangal
UCz4mLc8iNxrbNc4nFJ0lNvg,http://www.youtube.com/channel/UCz4mLc8iNxrbNc4nFJ0lNvg,KANISHKA DHALIWAL





